Country	Life expectancy	Logpop	LogBirth	Sqrt.Obese%	Education($%GDP)	LGdp/cap	LogImp/c	LogExp/c	Sqrt.Airp/c	Cell/cap	LogHIV	Birthrate	population	Obesity%	GDP/cap	Imp/cap	Exp/cap	Airp/cap	Imports	Exports	Airports	Cell phones
Haiti	63.18	6.999858	1.3585059	2.8106939		3.1139434	2.4310229	1.9430425	0.31627947	0.60969931	0.32221929	22.83	9996731	7.9	1300	269.78819	87.708672	0.1000327	2697000000	876800000	1000000	6095000
Hungary	75.46	6.9964735	0.96661099	5.2535702	4.9	4.2966652	3.9554466	3.971916	0.78907248	1.1674413		9.26	9919128	27.6	19800	9024.9869	9373.8079	0.62263538	89520000000	92980000000	6176000	11580000
Sweden	81.89	6.9878364	1.0762763	4.3127717	7	4.6117233	4.2108207	4.2710402	0.92932951	1.1973703		11.92	9723809	18.6	40900	16248.777	18665.525	0.86365333	158000000000	181500000000	8398000	11643000
Azerbaijan	71.91	6.9861539	1.2294258	4.8785244	2.4	4.0334238	3.0440409	3.5511614	0.49983969	1.0453005		16.96	9686210	23.8	10800	1106.728	3557.635	0.24983972	10720000000	34460000000	2420000	10125000
Belarus	72.15	6.9826356	1.0358298	4.929503	5.1	4.2068259	3.6722145	3.6412337	0.52448222	1.1110466		10.86	9608058	24.3	16100	4701.2622	4377.5756	0.2750816	45170000000	42060000000	2643000	10675000
Honduras	70.91	6.9344258	1.3740147	4.2895221		3.6812412	3.1201873	2.9621556	0.29171155	0.85712016		23.66	8598561	18.4	4800	1318.8253	916.54871	0.08509563	11340000000	7881000000	731700	7370000
Austria	80.17	6.9150336	0.94250411	4.5716518	5.9	4.6294096	4.3100171	4.3040268	0.86431784	1.652669		8.76	8223062	20.9	42600	20418.185	20138.484	0.74704532	167900000000	165600000000	6143000	13590000
Switzerland	82.39	6.9064167	1.0203613	4.1833001	5.2	4.7387806	4.3956977	4.4537979	0.87357421	1.2975227		10.48	8061516	17.5	54800	24871.253	28431.377	0.7631319	200500000000	229200000000	6152000	10460000
Tajikistan	67.06	6.9058774	1.3977663	2.9325757	3.9	3.3617278	2.7091252	2.1597023	0.29485622	0.81077939		24.99	8051512	8.6	2300	511.82933	144.44492	0.08694019	4121000000	1163000000	700000	6528000
Jordan	74.1	6.8993001	1.4019173	5.4772256		3.7853298	3.3704463	2.999096	0.45502634	1.1328428		25.23	7930491	30	6100	2346.6391	997.92056	0.20704897	18610000000	7914000000	1642000	8984000
